package_id,Result_field
369,"DM Yield/Acre"
370,"DM Yield/Acre"
371,"DM Yield/Acre"
374,"DM Yield/Acre"
375,"DM Yield/Acre"
376,"DM Yield/Acre"
377,"DM Yield/Acre"
385,"DM Yield/Acre"
386,"DM Yield/Acre"
387,"DM Yield/Acre"
388,"DM Yield/Acre"
389,"DM Yield/Acre"
390,"DM Yield/Acre"
391,"DM Yield/Acre"
392,"DM Yield/Acre"
393,"DM Yield/Acre"
394,"DM Yield/Acre"
397,"DM Yield/Acre"
398,"DM Yield/Acre"
400,"DM Yield/Acre"
401,"DM Yield/Acre"
402,"DM Yield/Acre"
403,"DM Yield/Acre"
404,"DM Yield/Acre"
405,"DM Yield/Acre"
408,"DM Yield/Acre"
409,"DM Yield/Acre"
411,"DM Yield/Acre"
412,"DM Yield/Acre"
413,"DM Yield/Acre"
414,"DM Yield/Acre"
416,"DM Yield/Acre"
417,"DM Yield/Acre"
418,"DM Yield/Acre"
419,"DM Yield/Acre"
421,"DM Yield/Acre"
422,"DM Yield/Acre"
423,"DM Yield/Acre"
424,"DM Yield/Acre"
427,"DM Yield/Acre"
428,"DM Yield/Acre"
429,"DM Yield/Acre"
430,"DM Yield/Acre"
431,"DM Yield/Acre"
432,"DM Yield/Acre"
433,"DM Yield/Acre"
434,"DM Yield/Acre"
435,"DM Yield/Acre"
436,"DM Yield/Acre"
437,"DM Yield/Acre"
438,"DM Yield/Acre"
439,"DM Yield/Acre"
440,"DM Yield/Acre"
441,"DM Yield/Acre"
442,"DM Yield/Acre"
443,"DM Yield/Acre"
444,"DM Yield/Acre"
445,"DM Yield/Acre"
447,"DM Yield/Acre"
448,"DM Yield/Acre"
449,"DM Yield/Acre"
451,"DM Yield/Acre"
452,"DM Yield/Acre"
453,"DM Yield/Acre"
454,"DM Yield/Acre"
455,"DM Yield/Acre"
456,"DM Yield/Acre"
458,"DM Yield/Acre"
482,"DM Yield/Acre"
547,"DM Yield/Acre"
550,"DM Yield/Acre"
551,"DM Yield/Acre"
556,"DM Yield/Acre"
558,"DM Yield/Acre"
559,"DM Yield/Acre"
560,"DM Yield/Acre"
561,"DM Yield/Acre"
562,"DM Yield/Acre"
564,"DM Yield/Acre"
566,"DM Yield/Acre"
567,"DM Yield/Acre"
570,"DM Yield/Acre"
572,"DM Yield/Acre"
591,"DM Yield/Acre"
594,"DM Yield/Acre"
604,"DM Yield/Acre"
605,"DM Yield/Acre"
616,"DM Yield/Acre"
617,"DM Yield/Acre"
618,"DM Yield/Acre"
629,"DM Yield/Acre"
630,"DM Yield/Acre"
631,"DM Yield/Acre"
632,"DM Yield/Acre"
633,"DM Yield/Acre"
634,"DM Yield/Acre"
